,Event.ID,daily.count,Event.Date,Source.Name,Source.Sectors,Source.Country,Event.Text,CAMEO.Code,Intensity,Target.Name,Target.Sectors,target.recode,Target.Country,Story.ID,Sentence.Number,Publisher,City,District,Province,Country,Latitude,Longitude
365925,20194214,4,7/3/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,"Obstruct passage, block",144,-7.5,Latin America,,NA,,27348266,5,Agence France-Presse,Santos,Floriano,Estado do Piaui,Brazil,-7.06667,-43.1333
366166,20194477,4,7/3/13,Court Judge (Brazil),"Government,Judicial",Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,27348782,1,AP Spanish Worldstream,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
366847,20195201,4,7/3/13,Brazil,,Brazil,Criticize or denounce,111,-2,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,27350261,4,Folha de Ṣo Paulo,Minas Gerais,Marechal Thaumaturgo,Estado do Acre,Brazil,-8.96667,-72.7833
366848,20195203,4,7/3/13,Police (Brazil),"Government,Police",Brazil,Express intent to meet or negotiate,36,4,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,27350265,1,Folha de Ṣo Paulo,Bandeirantes,Bandeirantes,Estado do Parana,Brazil,-23.11,-50.3675
368358,20198638,4,7/4/13,Police (Brazil),"Government,Police",Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,27342652,1,O Globo,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
368401,20198683,4,7/4/13,Police (Brazil),"Government,Police",Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,27342721,1,O Globo,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
368419,20198704,4,7/4/13,Police (Brazil),"Government,Police",Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,27342742,1,O Globo,Sao Paulo,Sao Paulo,Estado de Sao Paulo,Brazil,-23.5475,-46.6361
369061,20199380,4,7/4/13,Court Judge (Brazil),"Government,Judicial",Brazil,Criticize or denounce,111,-2,Citizen (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,27343982,2,El Norte,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
371546,20203515,4,7/5/13,Protester (France),"Protestors / Popular Opposition / Mobs,Dissident",France,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27340341,1,O Estado de Ṣo Paulo,Leblon,Aquidauana,Estado de Mato Grosso do Sul,Brazil,-19.9833,-56.0167
371742,20203716,4,7/5/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27340778,3,Folha de Ṣo Paulo,Viracopos,,Estado de Sao Paulo,Brazil,-22.9503,-47.8642
371743,20203717,4,7/5/13,Protester (Brazil),"Dissident,Protestors / Popular Opposition / Mobs",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27340778,5,Folha de Ṣo Paulo,Santos Dumont,Crateus,Estado do Ceara,Brazil,-5.2,-40.7167
